Year;MonthOfYear;DayOfMonth;HourOfDay(UTC);DayOfYear;DayOfCentury;AirPressure(hPa);AirTemperature(C);AirTemperatureHygroClip(C);RelativeHumidity_wrtWater(%);RelativeHumidity(%);WindSpeed(m/s);WindDirection(d);ShortwaveRadiationDown(W/m2);ShortwaveRadiationDown_Cor(W/m2);ShortwaveRadiationUp(W/m2);ShortwaveRadiationUp_Cor(W/m2);Albedo_theta<70d;LongwaveRadiationDown(W/m2);LongwaveRadiationUp(W/m2);CloudCover;SurfaceTemperature(C);HeightSensorBoom(m);HeightStakes(m);DepthPressureTransducer(m);DepthPressureTransducer_Cor(m);IceTemperature1(C);IceTemperature2(C);IceTemperature3(C);IceTemperature4(C);IceTemperature5(C);IceTemperature6(C);IceTemperature7(C);IceTemperature8(C);TiltToEast(d);TiltToNorth(d);TimeGPS(hhmmssUTC);LatitudeGPS((dd)mm.mmmmm);LongitudeGPS((dd)mm.mmmmm);ElevationGPS(m);HorDilOfPrecGPS;LoggerTemperature(C);FanCurrent(mA);BatteryVoltage(V)
2020;9;14;0;-999;-999;867;-19.43;19.92;73.4;73.4;5.75;159;-1.5;-999;.7;-999;-999;-56.4;-4.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;1;-999;-999;867;-19.41;19.86;72.8;72.8;6.04;159.6;-1.4;-999;.7;-999;-999;-56.4;-4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;2;-999;-999;867;-19.61;19.68;72.5;72.5;6.03;160;-1.3;-999;.7;-999;-999;-55.3;-4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;3;-999;-999;866;-19.14;20.14;70.9;70.9;6.19;158.1;-1.5;-999;.7;-999;-999;-56.2;-4.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;4;-999;-999;866;-19.4;19.94;69.3;69.3;6.53;159.7;-1.5;-999;.7;-999;-999;-55.4;-4.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;5;-999;-999;866;-19.46;19.8;68.8;68.8;6.47;163.6;-1.3;-999;.7;-999;-999;-54.9;-4.3;-999;-999;2.412;1.165;-9999;-999;-32.73;-31.81;-32.43;-33.26;-34.06;-34.6;-35.06;-35.47;-2.95;2.92;-999;-999;-999;1264;.8;-999;124;12.97
2020;9;14;6;-999;-999;866;-19.05;20.3;66.7;66.7;6.6;159.7;-1.3;-999;.7;-999;-999;-56;-4.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;7;-999;-999;866;-18.83;20.5;66.6;66.6;7.11;159.3;-1.2;-999;.8;-999;-999;-56.7;-5.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;8;-999;-999;866;-18.2;21.14;66.7;66.7;7.01;156.9;6.3;-999;10.3;-999;-999;-59;-6.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;9;-999;-999;866;-17.91;21.63;66.4;66.4;7.17;159.2;42.2;-999;63.7;-999;-999;-64.5;-10.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;10;-999;-999;866;-17.09;22.59;66.5;66.5;7.68;152.1;119;-999;143.1;-999;-999;-69.5;-11.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;11;-999;-999;865;-15.82;23.95;67.6;67.6;8.1;154;206.1;-999;219.8;-999;-999;-73.5;-11.8;-999;-999;0;1.153;-9999;-999;-32.77;-31.71;-32.31;-33.14;-33.92;-34.46;-34.94;-35.35;-2.87;2.89;-999;-999;-999;1267;.9;-999;162;15.51
2020;9;14;12;-999;-999;865;-14.03;25.81;66.8;66.8;7.93;150;287.2;-999;284.8;-999;-999;-78;-11.7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;13;-999;-999;864;-12.78;26.99;67.5;67.5;7.97;153.3;353.1;-999;334.6;-999;-999;-79.9;-9.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;14;-999;-999;864;-11.44;28.37;67.5;67.5;7.46;153.5;395.4;-999;362;-999;-999;-83.9;-9.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;15;-999;-999;864;-10.46;29.52;67;67;7.19;147.1;411.8;-999;365;-999;-999;-88.9;-12.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;16;-999;-999;863;-9.85;30.12;66;66;8.12;145.1;400.5;-999;343.3;-999;-999;-91;-14.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;17;-999;-999;863;-9.67;30.21;65.9;65.9;8.2;143.1;360.3;-999;298.6;-999;-999;-91.4;-15.7;-999;-999;0;1.095;-9999;-999;-32.72;-31.56;-32.15;-32.97;-33.77;-34.33;-34.76;-35.22;-2.85;2.84;-999;-999;-999;1264;1;-999;153;14.72
2020;9;14;18;-999;-999;862;-10.07;29.79;67;67;7.89;144.9;295;-999;234.7;-999;-999;-90.6;-16.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;19;-999;-999;862;-10.66;29.07;66.8;66.8;7.83;140;211.6;-999;160;-999;-999;-87.6;-16.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;20;-999;-999;861;-11.94;27.68;68.6;68.6;8.01;140.8;105.3;-999;74.1;-999;-999;-81;-13.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;21;-999;-999;861;-12.66;26.66;72.7;72.7;8.26;151.3;22.8;-999;14.9;-999;-999;-65.8;-8.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
